Census Section,Total dwellings,Occupied dwellings,Secondary or seasonal dwellings,Vacant dwellings
Sección 0801907020,695,695,0,0
Sección 0801907021,440,385,0,55*
Sección 0801907022,510,450,25*,35*
Sección 0801907023,565,520,0,45*
Sección 0801907024,710,710,0,0
Sección 0801907025,640,640,0,0
Sección 0801907026,435,435,0,0
Sección 0801907027,915,810,50*,55*
Sección 0801907028,755,755,0,0
Sección 0801907029,585,540,45*,0
Sección 0801907030,660,640,0,25*
Sección 0801907031,640,640,0,0
Sección 0801907032,535,535,0,0
Sección 0801907033,690,615,0,75*
Sección 0801907034,775,775,0,0
Sección 0801907035,685,685,0,0
Sección 0801907036,830,525,220*,85*
Sección 0801907037,630,560,5,65*
Sección 0801907038,585,585,0,0
Sección 0801907039,720,720,0,0
Sección 0801907040,845,675,70*,100*
Sección 0801907041,670,575,90*,0
Sección 0801907042,800,680,95*,25*
Sección 0801907043,765,575,80*,110*
Sección 0801907044,615,615,0,0
Sección 0801907045,900,840,0,55*
Sección 0801907046,605,580,0,20*
Sección 0801907047,590,590,0,0
Sección 0801907048,695,625,0,70*
Sección 0801907049,570,570,0,0
Sección 0801907050,675,485,60*,125*
Sección 0801907051,910,805,0,105*
Sección 0801907052,615,590,0,25*
Sección 0801907053,605,500,105*,0
Sección 0801907054,725,570,0,150*
Sección 0801907055,670,495,145*,25*
Sección 0801907056,590,490,100*,0
Sección 0801907057,695,670,0,25*
Sección 0801907058,600,530,0,70*
Sección 0801907059,550,470,0,80*
Sección 0801907060,800,585,0,210*
Sección 0801907061,410,410,0,0
Sección 0801907062,505,505,0,0
Sección 0801907063,635,610,0,25*
Sección 0801907064,720,670,0,50*
Sección 0801907065,775,730,0,45*
Sección 0801907066,530,505,25*,0
Sección 0801907067,600,600,0,0
Sección 0801907068,465,395,0,70*
Sección 0801907069,770,660,0,110*
Sección 0801907070,500,500,0,0
Sección 0801907071,595,595,0,0
Sección 0801907072,650,575,75*,0
Sección 0801907073,535,510,20*,0
Sección 0801907074,780,725,0,55*
Sección 0801907075,510,485,0,25*
Sección 0801907076,530,530,0,0
Sección 0801907077,545,545,0,0
Sección 0801907078,695,635,0,60*
Sección 0801907079,635,635,0,0
Sección 0801907080,780,740,0,40*
Sección 0801907081,870,870,0,0
Sección 0801907082,585,585,0,0
Sección 0801907083,735,650,0,85*
Sección 0801907084,680,630,0,50*
Sección 0801907085,625,550,0,75*
Sección 0801907086,580,535,0,45*
Sección 0801907087,750,730,0,25*
Sección 0801907088,725,440,60*,220
Sección 0801907089,590,525,25*,45*
Sección 0801907090,690,615,0,75*
Sección 0801907091,535,460,0,70*
Sección 0801907092,700,655,0,45*
Sección 0801907093,630,560,0,70*
Sección 0801907094,585,585,0,0
Sección 0801907095,790,690,0,105*
Sección 0801907096,580,525,0,55*
Sección 0801907097,365,330,0,35*
Sección 0801907098,760,640,0,120*
Sección 0801907099,440,440,0,0
Sección 0801907100,615,500,20*,95*
Sección 0801907101,640,595,0,50*
Sección 0801907103,520,500,0,25*
Sección 0801907104,795,745,0,50*
Sección 0801907105,445,445,0,0
Sección 0801907106,625,530,75*,25*
Sección 0801907107,485,485,0,0
Sección 0801907108,495,495,0,0
Sección 0801907109,800,705,25*,70*
Sección 0801907110,440,345,60*,35*
Sección 0801907111,370,345,0,25*
Sección 0801907112,585,490,0,100*
Sección 0801907113,605,530,75*,0
Sección 0801907114,650,565,0,85*
Sección 0801907115,440,440,0,0
Sección 0801907116,900,825,25*,50*
Sección 0801907117,560,490,70*,0
Sección 0801907118,580,560,0,25*
Sección 0801907119,650,545,0,105*
Sección 0801907120,580,535,45*,0
Sección 0801907121,575,475,50*,50*
Sección 0801907122,660,570,45*,45*
Sección 0801907123,540,540,0,0
Sección 0801908001,520,495,0,25*
Sección 0801908002,605,605,0,0
Sección 0801908003,615,615,0,0
Sección 0801908004,635,635,0,0
Sección 0801908005,540,540,0,0
Sección 0801908006,785,785,0,0
Sección 0801908007,500,475,25*,0
Sección 0801908008,815,815,0,0
Sección 0801908009,710,710,0,0
Sección 0801908010,365,345,0,20*
Sección 0801908011,415,415,0,0
Sección 0801908012,830,660,0,170*
Sección 0801908013,475,475,0,0
Sección 0801908014,765,555,140*,70*
Sección 0801908015,665,465,0,195*
Sección 0801908016,725,610,0,115*
Sección 0801908017,545,500,0,45*
Sección 0801908018,720,615,55*,55*
Sección 0801908019,955,780,0,170*
Sección 0801908020,530,530,0,0
Sección 0801908021,630,630,0,0
Sección 0801908022,745,630,55*,55*
Sección 0801908023,840,595,55*,185*
Sección 0801908024,775,660,60*,60*
Sección 0801908025,785,665,0,120*
Sección 0801908026,885,650,0,235*
Sección 0801908027,745,575,0,170*
Sección 0801908028,475,475,0,0
Sección 0801908029,730,730,0,0
Sección 0801908030,680,635,45*,0
Sección 0801908031,625,625,0,0
Sección 0801908032,535,535,0,0
Sección 0801908033,725,665,0,65*
Sección 0801908034,560,510,25*,25*
Sección 0801908035,785,785,0,0
Sección 0801908036,765,515,45*,200*
Sección 0801908037,690,665,0,25*
Sección 0801908038,790,790,0,0
Sección 0801908039,805,600,125*,75*
Sección 0801908040,770,770,0,0
Sección 0801908041,910,770,25*,115*
Sección 0801908042,680,655,25*,0
Sección 0801908043,525,455,0,70*
Sección 0801908044,590,470,0,120*
Sección 0801908045,730,705,0,25*
Sección 0801908046,750,610,25*,115*
Sección 0801908047,670,490,0,180*
Sección 0801908048,885,360,0,525
Sección 0801908049,630,630,0,0
Sección 0801908050,1510,1340,55*,115*
Sección 0801908051,490,490,0,0
Sección 0801908052,500,450,0,50*
Sección 0801908053,470,470,0,0
Sección 0801908054,785,685,100*,0
Sección 0801908055,1190,1020,25*,150*
