"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2010,8,"Nou Barris",45,"Porta","Persona física. Nacionalitat  estrangera",125
2010,8,"Nou Barris",46,"el Turó de la Peira","Persona física. Nacionalitat  estrangera",366
2010,8,"Nou Barris",47,"Can Peguera","Persona física. Nacionalitat  estrangera",NA
2010,8,"Nou Barris",48,"la Guineueta","Persona física. Nacionalitat  estrangera",48
2010,8,"Nou Barris",49,"Canyelles","Persona física. Nacionalitat  estrangera",21
2010,8,"Nou Barris",50,"les Roquetes","Persona física. Nacionalitat  estrangera",325
2010,8,"Nou Barris",51,"Verdun","Persona física. Nacionalitat  estrangera",159
2010,8,"Nou Barris",52,"la Prosperitat","Persona física. Nacionalitat  estrangera",251
2010,8,"Nou Barris",53,"la Trinitat Nova","Persona física. Nacionalitat  estrangera",195
2010,8,"Nou Barris",54,"Torre Baró","Persona física. Nacionalitat  estrangera",17
2010,8,"Nou Barris",55,"Ciutat Meridiana","Persona física. Nacionalitat  estrangera",558
2010,8,"Nou Barris",56,"Vallbona","Persona física. Nacionalitat  estrangera",13
2010,9,"Sant Andreu",57,"la Trinitat Vella","Persona física. Nacionalitat  estrangera",412
2010,9,"Sant Andreu",58,"Baró de Viver","Persona física. Nacionalitat  estrangera",8
2010,9,"Sant Andreu",59,"el Bon Pastor","Persona física. Nacionalitat  estrangera",181
2010,9,"Sant Andreu",60,"Sant Andreu","Persona física. Nacionalitat  estrangera",143
2010,9,"Sant Andreu",61,"la Sagrera","Persona física. Nacionalitat  estrangera",108
2010,9,"Sant Andreu",62,"el Congrés i els Indians","Persona física. Nacionalitat  estrangera",67
2010,9,"Sant Andreu",63,"Navas","Persona física. Nacionalitat  estrangera",105
2010,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Persona física. Nacionalitat  estrangera",227
2010,10,"Sant Martí",65,"el Clot","Persona física. Nacionalitat  estrangera",151
2010,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Persona física. Nacionalitat  estrangera",115
2010,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Persona física. Nacionalitat  estrangera",115
2010,10,"Sant Martí",68,"el Poblenou","Persona física. Nacionalitat  estrangera",294
2010,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Persona física. Nacionalitat  estrangera",188
2010,10,"Sant Martí",70,"el Besòs i el Maresme","Persona física. Nacionalitat  estrangera",635
2010,10,"Sant Martí",71,"Provençals del Poblenou","Persona física. Nacionalitat  estrangera",114
2010,10,"Sant Martí",72,"Sant Martí de Provençals","Persona física. Nacionalitat  estrangera",131
2010,10,"Sant Martí",73,"la Verneda i la Pau","Persona física. Nacionalitat  estrangera",184
2010,99,"No consta",99,"No consta","Persona física. Nacionalitat  estrangera",0
2010,1,"Ciutat Vella",1,"el Raval","Persona jurídica",5446
2010,1,"Ciutat Vella",2,"el Barri Gòtic","Persona jurídica",2883
2010,1,"Ciutat Vella",3,"la Barceloneta","Persona jurídica",1448
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona jurídica",3682
2010,2,"Eixample",5,"el Fort Pienc","Persona jurídica",2674
2010,2,"Eixample",6,"la Sagrada Família","Persona jurídica",2887
2010,2,"Eixample",7,"la Dreta de l'Eixample","Persona jurídica",6468
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona jurídica",4034
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona jurídica",3336
2010,2,"Eixample",10,"Sant Antoni","Persona jurídica",2409
2010,3,"Sants-Montjuïc",11,"el Poble Sec","Persona jurídica",1995
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona jurídica",360
2010,3,"Sants-Montjuïc",13,"la Marina de Port","Persona jurídica",991
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona jurídica",414
2010,3,"Sants-Montjuïc",15,"Hostafrancs","Persona jurídica",860
