id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9134208,Апартаменты на Рамбле Раваль,47540288,Antonio,Ciutat Vella,el Raval,41.37875738658050,2.169573327456810,Entire home/apt,37,1,5,2015-12-27,2.31,1,361
7316755,Habitación acogedora con mucha luz,25140392,,Ciutat Vella,el Raval,41.37744639740710,2.171261972170590,Private room,40,1,5,2015-08-17,0.90,1,145
10117325,Cool and comfortable apartment,51888333,Kaska,Ciutat Vella,el Raval,41.382433821098100,2.1637203415858700,Entire home/apt,69,1,0,,,1,315
512368,SUNNY ROOM,1687383,Juanmi,Ciutat Vella,el Raval,41.375637185136600,2.1700122482899600,Private room,19,14,16,2015-12-11,0.41,2,361
10047535,BIG CENTRAL FLAT NEAR RAMBLAS RAVAL,6163162,Francisco,Ciutat Vella,el Raval,41.37896079768380,2.1658412310995100,Entire home/apt,80,1,0,,,3,362
7194655,¨Le Petit Château de Las Ramblas¨,33644849,Marge,Ciutat Vella,el Raval,41.38129511315220,2.1721982359888000,Entire home/apt,190,2,17,2015-11-23,3.23,5,280
8217076,Habitación en el centro de bcn,19962759,,Ciutat Vella,el Raval,41.38050292610840,2.1726926102634800,Private room,50,1,0,,,4,365
7256790,Apartment for 2 in Barcelona Center,2413170,Marcel,Ciutat Vella,el Raval,41.38026138755310,2.1663085708849700,Entire home/apt,80,2,10,2015-10-26,1.79,1,266
6551632,Sunny double room in city centre**,60176,Marcos,Ciutat Vella,el Raval,41.3786106945817,2.1671807792188700,Private room,33,3,3,2015-08-13,0.56,2,364
7226161,Apartament center 5min to ramblas,37212877,Elisabet,Ciutat Vella,el Raval,41.379154595165500,2.1643191902457700,Entire home/apt,60,1,22,2015-12-29,4.85,1,334
5399226,Double Bed with private bathroom,7134971,,Ciutat Vella,el Raval,41.38444613489800,2.170765251663620,Private room,35,2,18,2015-09-12,2.05,1,24
9392246,Beautiful Apartment in City C,36978155,Exella,Ciutat Vella,el Raval,41.38084364060130,2.165984151783990,Entire home/apt,79,3,1,2015-12-23,1,3,357
4051453,Pelayo Deluxe 4 - BCN54,2151490,Juan A.,Ciutat Vella,el Raval,41.38546080493150,2.1673146194463800,Entire home/apt,199,2,21,2016-01-02,2.32,4,337
6841100,Stunning loft type - large terrace,11487207,Chris,Ciutat Vella,el Raval,41.378285570477800,2.166241480442870,Entire home/apt,90,3,7,2015-10-31,1.24,1,356
9747254,"COSY FLAT DOWNTOWN, NEXT TO RAMBLAS",6163162,Francisco,Ciutat Vella,el Raval,41.378140862286900,2.167846836287140,Entire home/apt,60,1,0,,,3,357
4608544,Nice Room Macba Ramblas,20698632,Juan,Ciutat Vella,el Raval,41.38300902927650,2.1667686818862400,Private room,29,1,46,2016-01-01,5.41,2,339
1074062,Center of Barcelona close to Macba,4860732,,Ciutat Vella,el Raval,41.38483127568130,2.170326618565900,Private room,45,2,10,2015-10-26,0.34,1,364
910264,Nice apartment at Barcelona center,4882559,Henry,Ciutat Vella,el Raval,41.38136823641770,2.163866655341590,Entire home/apt,78,2,30,2015-10-21,0.87,1,352
1139810,УЮТНАЯ КОМНАТА ДЛЯ ДВОИХ В ЦЕНТРЕ!,6251533,,Ciutat Vella,el Raval,41.37910298803120,2.1685084111699700,Private room,25,5,7,2015-10-14,0.23,1,363
7890091,Sweet FLAMENCO Red Room !!!,9791629,,Ciutat Vella,el Raval,41.380712218101800,2.1681065481745300,Private room,24,1,8,2015-12-15,2.03,1,343
8250878,Apartment  Ramblas Barcelona  x3,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.38407930496960,2.170454475389580,Entire home/apt,115,3,2,2015-12-09,0.90,9,83
9194957,STAY IN THE HEART OF  BARCELONA,47832585,,Ciutat Vella,el Raval,41.38126402577870,2.1680600817811500,Entire home/apt,21,2,1,2015-12-26,1,1,138
2685897,Pelayo Attic Deluxe 2 - BCN54,2151490,Juan A.,Ciutat Vella,el Raval,41.3847930339326,2.165977091452250,Entire home/apt,199,2,15,2015-06-29,0.73,4,348
8939205,Acogedor atico en el Raval,46730560,Mireia,Ciutat Vella,el Raval,41.381976780752900,2.16621006559077,Private room,40,1,0,,,1,179
3855093,R4-STUDENT room center of Barcelona,13474699,,Ciutat Vella,el Raval,41.382422258077100,2.164678887074980,Private room,21,60,0,,,4,365
1501088,Mi Casa Es Tu Casa + breakfast,7314109,Alessandra,Ciutat Vella,el Raval,41.37824091636140,2.1665566898168400,Entire home/apt,80,1,7,2015-10-18,0.33,3,326
4412214,Ramblas Boquería Raval,9539548,Sonia,Ciutat Vella,el Raval,41.38169936591770,2.1710236163467300,Entire home/apt,80,6,0,,,3,266
10152119,FANTASTIC APARTMENT NEXT TO RAMBLA,16296537,Daniel,Ciutat Vella,el Raval,41.38274546269380,2.1698874926383500,Entire home/apt,60,2,0,,,2,316
5171457,Super Comfy - Plaza Catalunya!,26166418,Tina Y Gus,Ciutat Vella,el Raval,41.385407705962700,2.168877241952970,Entire home/apt,59,3,47,2015-12-23,4.59,2,202
6804092,NOU RAMBLA I 3 BEDROOM APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.377644754135900,2.173807834549710,Entire home/apt,200,3,2,2015-10-12,0.34,18,359
7072131,Sunny room with balcony,24758058,,Ciutat Vella,el Raval,41.378098617095600,2.1720461038377100,Private room,25,1,17,2015-11-09,2.85,1,338
1796712,Room in Shanti Home BCN centre,9422969,,Ciutat Vella,el Raval,41.37754624123930,2.1738714199320100,Private room,45,3,15,2015-10-13,0.74,1,362
393717,Cosy apartment near Las Ramblas,1968590,Manel,Ciutat Vella,el Raval,41.37888415952800,2.1674368154827700,Entire home/apt,70,3,79,2015-12-24,1.82,2,339
5303197,HABITACION BALCON y CAMA DOBLE,16987393,,Ciutat Vella,el Raval,41.38357138822410,2.169724365950020,Private room,35,1,20,2015-10-07,2.82,5,364
6018066,Double bed room near Ramblas,10884335,Carlos,Ciutat Vella,el Raval,41.38040691278480,2.1714331804814600,Private room,40,1,45,2015-12-30,5.29,1,342
1468267,THE BEST LOCATION IN BARCELONA,2143907,Hugo,Ciutat Vella,el Raval,41.385263241268000,2.167753885629460,Private room,25,4,22,2015-08-16,0.76,3,360
7470346,Ramblas Cute Room #2 with balcony,34458047,Pablo,Ciutat Vella,el Raval,41.3781610036881,2.175316923639430,Private room,35,2,21,2015-12-16,4.32,3,152
3305131,alquilo habitación por días Rambla,15367746,Juanka,Ciutat Vella,el Raval,41.37774078853670,2.1732096516013100,Private room,1000,1,2,2015-09-30,0.40,1,365
847562,CHARMING COZY in arty centric flat,3147574,,Ciutat Vella,el Raval,41.383102296135300,2.168343078752730,Private room,50,2,40,2015-10-27,1.22,1,365
9714185,Bonito apartamento en el raval,39623843,Naldo Ney,Ciutat Vella,el Raval,41.378164825202800,2.1668461328206500,Entire home/apt,50,2,0,,,4,365
8679193,Marcel Bago,45581296,Marcel,Ciutat Vella,el Raval,41.38106609455960,2.167143252984870,Entire home/apt,60,2,5,2015-12-12,2.11,1,123
1634282, Dos Habitaciones/Centro Barcelona ,8681658,Ximena,Ciutat Vella,el Raval,41.38099826413170,2.1702109811990200,Private room,35,1,88,2015-12-31,3.28,2,343
1601596,BEST LOCATION IN BARCELONA CENTER,2524994,,Ciutat Vella,el Raval,41.384717344999600,2.1681441964923500,Private room,60,3,1,2014-12-18,0.08,1,365
9611302,Las Ramblas cozy room,26154116,Silvia,Ciutat Vella,el Raval,41.3852689380233,2.167017757764370,Private room,52,1,0,,,1,365
7794983,New! Designed studio in city center,36358616,Yuda,Ciutat Vella,el Raval,41.379069068987000,2.1687249447219100,Entire home/apt,95,2,12,2015-12-01,2.63,1,353
9070656,Habitación céntrica y tranquila,47307159,,Ciutat Vella,el Raval,41.38301016919480,2.1637878131763200,Private room,15,30,2,2015-12-24,0.97,1,361
5927311,Piso con fantástica terraza centro,30773521,,Ciutat Vella,el Raval,41.375307547549600,2.168450939262220,Entire home/apt,140,7,1,2015-08-19,0.22,1,61
2355596,(4) BARCELONA  DOUBLE ROOM DOWNTOWN,10590054,Ariel & Joaquín,Ciutat Vella,el Raval,41.381492756247700,2.1716425113818700,Private room,60,1,37,2015-12-08,1.64,2,357
10252757,Chambre pour 3 personnes sur Liceu,41792422,Bourezgui,Ciutat Vella,el Raval,41.37943713544240,2.174180316542280,Private room,78,1,1,2015-12-31,1,1,365
4713191,Room in the center of BCN,879974,Nik&Kat,Ciutat Vella,el Raval,41.37929895018280,2.167996312230300,Private room,50,2,1,2015-05-05,0.12,6,364
7926338,Luxury apartament with terrace,10687645,,Ciutat Vella,el Raval,41.38217412638260,2.171688452420660,Entire home/apt,160,2,4,2015-12-06,1.19,9,363
6348131,Central Loft + Terrace,7678192,Roberto,Ciutat Vella,el Raval,41.378102820571400,2.1692475026068600,Entire home/apt,41,1,27,2015-12-28,3.70,3,316
7533351,Shared room for 4 people,34669110,Ignacio,Ciutat Vella,el Raval,41.37854396837730,2.164013875692380,Private room,20,1,12,2015-12-03,2.25,2,361
7926635,Rambla apartament ideal for a group,10687645,,Ciutat Vella,el Raval,41.38057498557150,2.1692212473311400,Entire home/apt,160,2,3,2015-10-28,0.97,9,365
8319908,Ramblas' Atmosphere up to 6 guests,40676061,Simone Y Georgina,Ciutat Vella,el Raval,41.382799528845700,2.1704292903332600,Entire home/apt,130,3,3,2015-11-16,1.58,27,355
6910885,atico en plaza catalunya,36212730,,Ciutat Vella,el Raval,41.384623365495900,2.169522083709870,Private room,40,2,10,2015-10-15,1.85,1,364
2782323,Double room (50m) whit terrace!,13858065,Marisa,Ciutat Vella,el Raval,41.378192607531000,2.1658701502911000,Private room,50,3,30,2015-10-27,1.55,1,362
283500,"Large Bohemian loft, Ibiza downtown",529756,Fabsy,Ciutat Vella,el Raval,41.380863830589300,2.1732206820551300,Entire home/apt,190,3,17,2015-10-05,0.41,3,350
3306697,R1-STUDENT room center of Barcelona,13474699,,Ciutat Vella,el Raval,41.38096489249700,2.1667922938262500,Private room,21,60,1,2014-08-23,0.06,4,365
9729272,Indulge in Superior Downtown flat,10099226,Jason,Ciutat Vella,el Raval,41.38530295736220,2.167711517733620,Private room,118,1,0,,,1,188
3011916,Sunny appartment in Las Ramblas.,5415450,Enrique,Ciutat Vella,el Raval,41.37874170293170,2.173605246857300,Entire home/apt,50,3,3,2015-08-27,0.60,1,230
6518128,Central Duplex Ramblas,7678192,Roberto,Ciutat Vella,el Raval,41.37979542478690,2.1685843739074500,Entire home/apt,41,1,12,2015-12-24,1.93,3,338
1189222,Cosy studio just off Las Ramblas,383697,Anna,Ciutat Vella,el Raval,41.385495066655800,2.167945653753930,Entire home/apt,69,3,3,2015-12-19,0.48,18,364
271259,cozy and bright in the heart of the,1419752,Flor,Ciutat Vella,el Raval,41.385867760060200,2.1648451044440800,Entire home/apt,85,3,13,2015-11-09,0.27,1,60
3003812,TRIPLE PRIVATE ROOM/BALCONY,6741457,George&Yuset,Ciutat Vella,el Raval,41.38237878098190,2.165409170421210,Private room,35,1,86,2015-12-19,4.39,3,306
6815737,APARTMENT COLOM 1,35689823,Carles,Ciutat Vella,el Raval,41.37872119656360,2.1739808839876800,Entire home/apt,110,2,21,2015-12-26,3.30,2,349
2512547,Central and quiet apartment ,12861681,Rosa,Ciutat Vella,el Raval,41.377899809219400,2.1703724416097400,Entire home/apt,65,4,36,2015-12-20,1.65,1,133
3790524,Habitación doble con Balcón centro,8559860,Thania,Ciutat Vella,el Raval,41.375746910410900,2.172199253455370,Private room,25,7,0,,,1,365
